127.0.0.1 - - [29/Dec/2021:08:06:43 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Dec/2021:08:12:18 +0900] "GET /ws5/websquare/websquare.html?w2xPath=/ws5/index.xml HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [29/Dec/2021:08:12:19 +0900] "GET /ws5/websquare/javascript.wq?q=/bootloader HTTP/1.1" 200 18276
0:0:0:0:0:0:0:1 - - [29/Dec/2021:08:12:19 +0900] "GET /ws5/websquare/suffix.txt?postfix=1640733139722241.51793211738993 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Dec/2021:08:12:19 +0900] "GET /ws5/websquare/config.xml?postfix=16407331397316518.94607994411 HTTP/1.1" 200 20882
0:0:0:0:0:0:0:1 - - [29/Dec/2021:08:12:22 +0900] "GET /ws5/websquare/javascriptPluginAll.wq?w2xType=5&postfix=NS4wXzQuNDIxNUEuMjAyMDEwMTUuMTE1MDQ1Xw==MS44&compression=true HTTP/1.1" 200 721456
0:0:0:0:0:0:0:1 - - [29/Dec/2021:08:12:22 +0900] "GET /ws5/websquare/externalJS/jquery/jquery-1.10.2.min.js?postfix=2021_12 HTTP/1.1" 200 93064
0:0:0:0:0:0:0:1 - - [29/Dec/2021:08:12:22 +0900] "GET /ws5/websquare/externalJS/es5-sham.mod.js?postfix=2021_12 HTTP/1.1" 200 4707
0:0:0:0:0:0:0:1 - - [29/Dec/2021:08:12:22 +0900] "GET /ws5/websquare/externalJS/papaparse.js?postfix=2021_12 HTTP/1.1" 200 49525
0:0:0:0:0:0:0:1 - - [29/Dec/2021:08:12:22 +0900] "GET /ws5/websquare/message/ko.js?postfix=2021_12 HTTP/1.1" 200 19259
0:0:0:0:0:0:0:1 - - [29/Dec/2021:08:12:22 +0900] "GET /ws5/js/eduCommon.js?postfix=16407331423846389.938342283071 HTTP/1.1" 200 21948
0:0:0:0:0:0:0:1 - - [29/Dec/2021:08:12:22 +0900] "GET /ws5/websquare/skin/stylesheet_ext.css?postfix=2021_12 HTTP/1.1" 200 158044
